id,question,ground_truth_letter,ground_truth_text,vs_A_B_selected,vs_A_B_is_correct,vs_A_B_trace,vs_A_B_justification,vs_A_D_selected,vs_A_D_is_correct,vs_A_D_trace,vs_A_D_justification,vs_B_D_selected,vs_B_D_is_correct,vs_B_D_trace,vs_B_D_justification,vs_B_C_selected,vs_B_C_is_correct,vs_B_C_trace,vs_B_C_justification,vs_C_D_selected,vs_C_D_is_correct,vs_C_D_trace,vs_C_D_justification,vs_A_C_selected,vs_A_C_is_correct,vs_A_C_trace,vs_A_C_justification,total_correct,total_evals
7134,Most sensitive test for H pylori is-,B,Biopsy urease test,,,,,D,0.0,"[
  ""Compare test sensitivity for active H. pylori infection among the listed options."",
  ""Biopsy urease test is invasive and can miss infection due to patchy bacterial distribution, so sensitivity is lower."",
  ""Urea breath test has the highest sensitivity among these commonly used tests for active H. pylori infection.""
]",Urea breath test is the most sensitive option for detecting active H. pylori infection.,,,,,,,,,D,0.0,"[
  ""Biopsy urease test is useful but can miss infection due to patchy bacterial distribution or recent medication use."",
  ""Serological testing may be sensitive but cannot reliably distinguish active from past infection."",
  ""Urea breath test is the most sensitive noninvasive test among the listed options for active H. pylori infection.""
]",Urea breath test has the highest sensitivity among the given options for active H. pylori infection.,A,0.0,"[
  ""Urea breath test is often considered highly sensitive, but it is not among the provided options."",
  ""Biopsy urease test is invasive and can have reduced sensitivity due to patchy colonization or recent PPI/antibiotic use."",
  ""Fecal antigen testing has high sensitivity for active H. pylori infection and is more sensitive than the other listed options.""
]",Fecal antigen test is the most sensitive among the listed tests for active H. pylori infection.,0.0,3
7188,Drug commonly used in t/t of endometriosis -,B,GnRH analogues,,,,,B,1.0,"[
  ""Endometriosis is estrogen-dependent and treatment often aims to suppress ovarian estrogen production."",
  ""GnRH analogues are commonly used because they downregulate pituitary gonadotropin release with continuous use, causing hypoestrogenism."",
  ""LH and FSH are not used as treatment for endometriosis because they would stimulate ovarian function rather than suppress it.""
]",GnRH analogues are commonly used to treat endometriosis by suppressing ovarian estrogen production.,,,,,,,,,B,1.0,"[
  ""GnRH analogues are established medical therapy for endometriosis by suppressing ovarian estrogen production."",
  ""MPA is a progestin that can be used, but among the listed options GnRH analogues are the standard commonly cited treatment."",
  ""FSH is not used to treat endometriosis and would not suppress the disease.""
]",GnRH analogues are commonly used medical treatment for endometriosis.,C,0.0,"[
  ""Endometriosis is commonly treated medically with hormonal suppression."",
  ""LH is not used as a treatment for endometriosis."",
  ""MPA is a progestin commonly used for endometriosis treatment.""
]",MPA is a commonly used progestin therapy for endometriosis.,2.0,3
7223,Decreased vascularity of fibroid is seen with :,D,All,A,0.0,"[
  ""GnRH agonists induce a hypoestrogenic state and are known to reduce fibroid size and vascularity, especially before surgery."",
  ""Danazol may have some effect on fibroid size but is not classically associated with decreased fibroid vascularity as a key effect."",
  ""Therefore, among the given options, GnRH agonist is the correct choice.""
]",GnRH agonists decrease fibroid vascularity by inducing hypoestrogenism.,,,,,,,,,D,1.0,"[
  ""Both danazol and mifepristone can reduce fibroid-related vascularity through hormonal suppression/modulation."",
  ""Decreased fibroid vascularity is also a known effect of medical therapies used to shrink fibroids."",
  ""Since the listed agents are included, the correct option is All.""
]","Danazol and mifepristone are both associated with reduced fibroid vascularity, so All is correct.",,,,,D,1.0,"[
  ""GnRH agonists reduce estrogen stimulation and decrease fibroid size and vascularity."",
  ""Mifepristone can also reduce fibroid growth and vascularity through antiprogesterone effects."",
  ""Since decreased vascularity is seen with both listed therapies, the option covering all is correct.""
]",Both GnRH agonists and mifepristone can decrease fibroid vascularity.,2.0,3
7293,"A 60 year old male presented to the emergency with breathlessness, facial swelling and dilated veins on the chest wall. The most common cause is:",D,Superior vena caval obstruction,B,0.0,"[
  ""The symptoms of breathlessness, facial swelling, and dilated chest wall veins indicate superior vena cava syndrome."",
  ""The question asks for the most common cause, not the name of the syndrome itself."",
  ""The most common cause of superior vena cava obstruction is lung cancer, especially bronchogenic carcinoma.""
]",Lung cancer is the most common cause of superior vena caval obstruction.,,,,,,,,,B,0.0,"[
  ""The symptoms describe superior vena cava syndrome: breathlessness, facial swelling, and dilated chest wall veins."",
  ""Superior vena caval obstruction is the syndrome/condition, not the most common underlying cause."",
  ""The most common cause of superior vena cava syndrome is lung cancer.""
]",Lung cancer is the most common underlying cause of superior vena caval obstruction.,,,,,D,1.0,"[
  ""The symptoms of breathlessness, facial swelling, and dilated chest wall veins indicate impaired venous drainage from the upper body."",
  ""This clinical picture is characteristic of superior vena caval obstruction."",
  ""Among the provided options, thymoma and Hodgkin's lymphoma may cause mediastinal obstruction but are not the best answer to the presented syndrome.""
]",The presentation is classic for superior vena caval obstruction.,1.0,3
7306,Early diagnosis of acute hepatitis-B infection is made by-,C,Presence HbsAg in serum,B,0.0,"[
  ""HBsAg appears early but can be present in both acute and chronic hepatitis B infection."",
  ""HBeAg indicates active viral replication and infectivity, not specifically early acute diagnosis."",
  ""IgM anti-HBc is the serologic marker most specific for acute or recent hepatitis B infection.""
]",IgM anti-HBc is the best marker for diagnosing acute hepatitis B infection.,C,1.0,"[
  ""HBsAg is the first serologic marker to appear in acute hepatitis B infection."",
  ""HBeAg indicates active viral replication and high infectivity, but it is not the primary marker for early diagnosis."",
  ""IgG anti-HBc indicates past or chronic infection, not early acute infection.""
]",Early acute hepatitis B is diagnosed by the presence of HBsAg in serum.,C,1.0,"[
  ""HBsAg is the earliest routinely detectable serologic marker in hepatitis B infection, appearing before symptoms."",
  ""IgM anti-HBc indicates acute or recent HBV infection but appears after HBsAg and is especially useful during the window period."",
  ""IgG anti-HBc indicates past exposure or chronic infection, not early acute diagnosis.""
]",HBsAg appears earliest in serum and is used for early diagnosis of hepatitis B infection.,,,,,,,,,,,,,2.0,3
7319,Moth eaten bone is seen in which of the following ?,B,Multiple myeloma,,,,,B,1.0,"[
  ""Osteoid osteoma typically shows a small radiolucent nidus with surrounding sclerosis, not a moth-eaten pattern."",
  ""Chondromyxoid fibroma usually appears as an eccentric, expansile lytic lesion with a sclerotic margin, not moth-eaten bone destruction."",
  ""Multiple myeloma produces multiple destructive osteolytic lesions and can show a moth-eaten appearance among the listed options.""
]",Multiple myeloma is associated with destructive osteolytic bone lesions that may have a moth-eaten appearance.,,,,,,,,,C,0.0,"[
  ""Moth-eaten bone destruction refers to an ill-defined, aggressive lytic pattern."",
  ""Multiple myeloma classically shows multiple well-defined punched-out lesions rather than a moth-eaten pattern."",
  ""Eosinophilic granuloma can produce irregular/moth-eaten osteolytic bone destruction, especially in jaws/skull.""
]",Eosinophilic granuloma is associated with moth-eaten osteolytic bone destruction.,C,0.0,"[
  ""Osteoid osteoma classically shows a small radiolucent nidus with surrounding sclerosis, not a moth-eaten pattern."",
  ""Multiple myeloma classically produces multiple punched-out lytic lesions rather than a moth-eaten appearance."",
  ""Eosinophilic granuloma can produce irregular destructive bone lesions described as moth-eaten.""
]",Moth-eaten bone destruction is associated with eosinophilic granuloma among the given options.,1.0,3
7375,Pressure volume loop is shifted to left side in,C,Aortic stenosis,B,0.0,"[
  ""Aortic regurgitation causes volume overload with increased end-diastolic volume, so the loop shifts mainly to the right."",
  ""Aortic stenosis causes increased afterload with increased systolic pressure and often increased end-systolic volume, not a left-shifted loop."",
  ""Mitral regurgitation reduces effective afterload because blood can eject into the low-pressure left atrium, decreasing end-systolic volume and shifting the loop leftward.""
]",Mitral regurgitation is associated with reduced end-systolic volume and a leftward shift of the pressure-volume loop.,C,1.0,"[
  ""Aortic regurgitation causes volume overload with increased end-diastolic volume, shifting the pressure-volume loop to the right."",
  ""Congestive cardiac failure typically causes increased end-systolic and end-diastolic volumes, also shifting the loop to the right."",
  ""Aortic stenosis causes pressure overload with concentric hypertrophy and reduced ventricular compliance, which can shift the pressure-volume relationship leftward.""
]","Aortic stenosis is associated with pressure overload and reduced LV compliance, producing a leftward shift compared with the rightward shifts seen in aortic regurgitation and congestive heart failure.",B,0.0,"[
  ""Aortic stenosis increases afterload, raising systolic pressure and increasing end-systolic volume, so the loop is not shifted left."",
  ""Mitral regurgitation allows ejection into the low-pressure left atrium, reducing effective afterload and decreasing end-systolic volume, causing a leftward shift of the end-systolic point."",
  ""Congestive cardiac failure with reduced contractility shifts the loop to the right due to increased end-systolic and end-diastolic volumes.""
]","Mitral regurgitation decreases effective afterload and end-systolic volume, producing a leftward shift of the pressure-volume loop.",,,,,,,,,,,,,1.0,3
7409,Which of the following is RNA with catalytic activity?,D,All of the above,D,1.0,"[
  ""Ribonuclease P is a ribozyme, meaning its RNA component has catalytic activity."",
  ""Peptidyl transferase activity is catalyzed by ribosomal RNA in the large ribosomal subunit."",
  ""Since both listed examples are RNA-associated catalytic activities, the best option is All of the above.""
]",Both ribonuclease P and peptidyl transferase involve catalytic RNA activity.,,,,,,,,,D,1.0,"[
  ""Peptidyl transferase activity is catalyzed by ribosomal RNA, making it an example of catalytic RNA."",
  ""Small nuclear RNA participates in spliceosomal catalysis, so it is also associated with catalytic RNA activity."",
  ""Since the listed examples represent RNA with catalytic activity, the inclusive option is correct.""
]","Peptidyl transferase rRNA and snRNA-mediated spliceosomal catalysis are examples of catalytic RNA, so all listed choices apply.",,,,,A,0.0,"[
  ""Ribonuclease P contains catalytic RNA and is a classic ribozyme."",
  ""snRNA participates in spliceosome function but is not the best standalone answer for catalytic RNA in this context."",
  ""Therefore, among the provided options, Ribonuclease P is the correct choice.""
]",Ribonuclease P is a catalytic RNA enzyme (ribozyme).,2.0,3
7417,Drug used for Buerger's disease,B,Xanthinol nicotinate,,,,,B,1.0,"[
  ""Buerger's disease involves inflammatory occlusive disease of small and medium arteries, and management includes smoking cessation and vasodilator/hemorheologic agents for symptomatic relief."",
  ""Xanthinol nicotinate is a vasodilator used in peripheral vascular disease and can be used in Buerger's disease."",
  ""Propranolol may worsen peripheral vasoconstriction, so 'All the above' is incorrect.""
]",Xanthinol nicotinate is the appropriate drug among the given options for Buerger's disease.,,,,,,,,,D,0.0,"[
  ""Buerger's disease is treated primarily by smoking cessation, but vasodilators may be used symptomatically."",
  ""Xanthinol nicotinate is a peripheral vasodilator used in peripheral vascular diseases including Buerger's disease."",
  ""GTN can also be used as a vasodilator, so among the given options the inclusive option is correct.""
]",Both xanthinol nicotinate and GTN are vasodilators used in Buerger's disease.,B,1.0,"[
  ""Buerger's disease is a peripheral vascular occlusive disease where vasodilator therapy may be used as adjunctive treatment."",
  ""Xanthinol nicotinate is a peripheral vasodilator used in peripheral vascular diseases including Buerger's disease."",
  ""Propranolol can worsen peripheral ischemia, and GTN is not the standard drug choice for Buerger's disease among these options.""
]",Xanthinol nicotinate is used as a peripheral vasodilator in Buerger's disease.,2.0,3
7467,Best way to confirm that no stones are left back in the CBD?,C,Cholangiogram,A,0.0,"[
  ""Choledochoscopy allows direct visualization of the common bile duct lumen."",
  ""Direct visualization is more reliable than palpation and generally better than cholangiography for confirming duct clearance."",
  ""Therefore the best option to confirm no retained CBD stones is choledochoscope.""
]",Choledochoscopy directly visualizes the CBD and best confirms absence of retained stones.,A,0.0,"[
  ""The aim is to confirm complete clearance of the common bile duct after suspected or treated CBD stones."",
  ""A cholangiogram can show filling defects but may miss small retained stones, while ERCP is invasive and not the best confirmatory method in this setting."",
  ""Choledochoscopy allows direct visualization of the CBD lumen and is the most reliable option among those listed.""
]",Choledochoscopy directly visualizes the CBD and best confirms that no stones are left behind.,C,1.0,"[
  ""Assess the goal: confirming complete clearance of the common bile duct after possible stone removal."",
  ""Palpation can miss residual CBD stones and is not the best confirmatory method."",
  ""A cholangiogram directly images the biliary tree and is the best option among those listed to confirm no stones remain.""
]",Cholangiogram is the best method to confirm CBD clearance and exclude retained stones.,,,,,,,,,,,,,1.0,3
